FarmerID,Crop,District,Acres
1,Paddy,Coimbatore,12
2,Groundnut,Coimbatore,5
3,Maize,Erode,8
4,Sugarcane,Madurai,10
5,Wheat,Thanjavur,6
6,Sunflower,Salem,7
7,Tomato,Dindigul,4
8,Potato,Coimbatore,9
9,Brinjal,Vellore,8
10,Carrot,Kanchipuram,5
11,Paddy,Erode,15
12,Groundnut,Thanjavur,10
13,Maize,Dindigul,12
14,Sugarcane,Vellore,20
15,Wheat,Coimbatore,13
16,Sunflower,Madurai,10
17,Tomato,Coimbatore,6
18,Potato,Salem,7
19,Brinjal,Namakkal,11
20,Carrot,Thanjavur,8
21,Sunflower,Tiruchirappalli,20
22,Sesame,Thoothukudi,8
23,Coconut,Dharmapuri,16
24,Mango,Krishnagiri,10
26,Groundnut,Kanchipuram,14
27,Maize,Salem,18
28,Sugarcane,Tirunelveli,25
29,Wheat,Dindigul,15
30,Carrot,Namakkal,12
31,Tomato,Kanchipuram,10
32,Brinjal,Dindigul,6
33,Paddy,Salem,30
34,Sunflower,Vellore,25
36,Potato,Tiruchirappalli,20
37,Groundnut,Namakkal,15
38,Paddy,Kanchipuram,18
39,Brinjal,Krishnagiri,14
40,Carrot,Madurai,8
41,Pomegranate,Coimbatore,20
42,Sesame,Salem,10
43,Peanuts,Namakkal,15
44,Sugarcane,Dindigul,30
45,Turmeric,Erode,25
46,Castor,Tiruchirappalli,15
47,Dragonfruit,Madurai,10
48,Papaya,Krishnagiri,20
49,Garlic,Thoothukudi,12
50,Barley,Virudhunagar,15
51,Soybean,Vellore,25
52,Cotton,Dharmapuri,30
53,Rice,Coimbatore,50
54,Chickpeas,Salem,40
55,Sunflower,Thanjavur,35
56,Carrot,Dindigul,20
57,Potato,Tirunelveli,25
58,Beetroot,Madurai,22
59,Onion,Erode,18
60,Tomato,Virudhunagar,12
